Github Username,Label,Label,Label
sinteary,tutorial.CS2113-T13,team.1,tutor.akshayeshenoi
Lucria,tutorial.CS2113-T13,team.1,tutor.akshayeshenoi
iamabhishek98,tutorial.CS2113-T13,team.1,tutor.akshayeshenoi
seanlimhx,tutorial.CS2113-T13,team.1,tutor.akshayeshenoi
Dkenobi,tutorial.CS2113-T13,team.1,tutor.akshayeshenoi
HUANGXUANKUN,tutorial.CS2113-T13,team.2,tutor.akshayeshenoi
kkeejjuunn,tutorial.CS2113-T13,team.2,tutor.akshayeshenoi
qjie7,tutorial.CS2113-T13,team.2,tutor.akshayeshenoi
lmtaek,tutorial.CS2113-T13,team.2,tutor.akshayeshenoi
WEIFENG-NUSCEG,tutorial.CS2113-T13,team.2,tutor.akshayeshenoi
fauzt,tutorial.CS2113-T13,team.3,tutor.RubaP
hanskw4267,tutorial.CS2113-T13,team.3,tutor.RubaP
assman,tutorial.CS2113-T13,team.3,tutor.RubaP
E0310898,tutorial.CS2113-T13,team.3,tutor.RubaP
TanYiXiang,tutorial.CS2113-T13,team.3,tutor.RubaP
e0318465,tutorial.CS2113-T13,team.4,tutor.RubaP
Dou-Maokang,tutorial.CS2113-T13,team.4,tutor.RubaP
gervaiseang,tutorial.CS2113-T13,team.4,tutor.RubaP
talesrune,tutorial.CS2113-T13,team.4,tutor.RubaP
maxxyx96,tutorial.CS2113-T13,team.4,tutor.RubaP
aquohn,tutorial.CS2113-T14,team.1,tutor.sanjukta99
JeremyKwok,tutorial.CS2113-T14,team.1,tutor.sanjukta99
gowgos5,tutorial.CS2113-T14,team.1,tutor.sanjukta99
JacobToresson,tutorial.CS2113-T14,team.1,tutor.sanjukta99
saradj,tutorial.CS2113-T14,team.2,tutor.sanjukta99
x3chillax,tutorial.CS2113-T14,team.2,tutor.sanjukta99
CEGLincoln,tutorial.CS2113-T14,team.2,tutor.sanjukta99
9hafidz6,tutorial.CS2113-T14,team.2,tutor.sanjukta99
VirginiaYu,tutorial.CS2113-T14,team.2,tutor.sanjukta99
kevin996231,tutorial.CS2113-T14,team.3,tutor.sanjukta99
chelsea148629,tutorial.CS2113-T14,team.3,tutor.leowweixiang
njw95,tutorial.CS2113-T14,team.3,tutor.leowweixiang
tran-quang-thanh,tutorial.CS2113-T14,team.3,tutor.leowweixiang
tessa-z,tutorial.CS2113-T14,team.3,tutor.leowweixiang
jasonchanwq,tutorial.CS2113-T14,team.4,tutor.leowweixiang
chenyuheng,tutorial.CS2113-T14,team.4,tutor.leowweixiang
JustinChia1997,tutorial.CS2113-T14,team.4,tutor.leowweixiang
AugGust,tutorial.CS2113-T14,team.4,tutor.leowweixiang
yuyanglin28,tutorial.CS2113-T14,team.4,tutor.leowweixiang
huangje,tutorial.CS2113-T16,team.1,tutor.sanjukta99
laurenthg,tutorial.CS2113-T16,team.1,tutor.sanjukta99
rshah918,tutorial.CS2113-T16,team.1,tutor.sanjukta99
nimiew,tutorial.CS2113-T16,team.2,tutor.sanjukta99
nicholasnovakovic,tutorial.CS2113-T16,team.2,tutor.sanjukta99
shaun97,tutorial.CS2113-T16,team.2,tutor.sanjukta99
Mudaafi,tutorial.CS2113T-F09,team.1,tutor.sanjukta99
sallysohyun,tutorial.CS2113T-F09,team.1,tutor.Rishav1
priyan-coder,tutorial.CS2113T-F09,team.1,tutor.Rishav1
AjeyAshok,tutorial.CS2113T-F09,team.1,tutor.Rishav1
Araavinds,tutorial.CS2113T-F09,team.1,tutor.Rishav1
kuromono,tutorial.CS2113T-F09,team.2,tutor.Rishav1
parvathi14,tutorial.CS2113T-F09,team.2,tutor.Rishav1
tygq13,tutorial.CS2113T-F09,team.2,tutor.Rishav1
